"","pln_richness","pln_sigma.sig","pln_loglik","cegs_richness","cegs_gamma","cegs_loglik","nb_richness","nb_size.size","nb_loglik","nb_prob.prob"
"1",118.063631252977,2.07953275203781,-141.494709425404,160.190636098709,2.46726602601736,-199.612455863828,3682.59263442873,0.005,-140.272590145655,0.049313547581269
"2",109.132096484276,1.41694652714118,-160.122324223072,133.254402148991,1.29915143487515,-204.839895709679,235.141110107683,0.170684690128202,-149.432705450182,0.130676677465134
"3",115.585061312889,1.45804523229558,-202.205310896918,145.735491062215,1.45363890998819,-250.649969361528,800.91658227218,0.0365276366659284,-202.816580183246,0.058252033566969
"4",138.451529016339,1.63053901988891,-240.182517541514,182.833515818453,1.7933129786283,-303.849783038588,1719.79023164561,0.0189012747997236,-228.497967947417,0.0582054078234469
"5",71.1429781759188,1.40925845872378,-185.284253069689,80.9077913286547,1.14155967969358,-203.290804401403,88.0263433396117,0.444257919585164,-170.937395642051,0.0823093334151974
"6",39.6181942532222,1.61618736544224,-59.7226478279218,48.5953069638266,1.58003739470302,-76.3135025271317,62.2541179092561,0.270673669644415,-49.9534828119951,0.1654449901043
"7",113.520326420566,2.39230050089796,-89.8119644722162,225.709064331894,3.75761730751928,-156.644187823189,3071.76616543583,0.005,-78.6988609822032,0.0885964259323521
"8",80.8437942480118,1.15784269721175,-97.0334542355608,98.9537434805881,0.933068333830084,-130.828198803263,91.3331136546314,0.728770246040598,-87.0345936692809,0.336913905446168
"9",52.417530426788,1.54241363914679,-86.4223789415639,60.2581655010771,1.32012530642985,-105.218289026193,150.162706275723,0.112306338158259,-77.8170276377542,0.101676614734911
"22",63.6089053380729,2.12531842385687,-102.313111786919,75.2821823110217,2.18391467673873,-128.375090448398,2329.03522212082,0.005,-91.7028357800102,0.0483955073968652
"23",55.4166628639855,1.67831654306961,-88.4062885217454,77.5428801546762,1.98791023786936,-116.525281328949,98.5499230598129,0.201791065842253,-76.4767498059564,0.122843546626003
"24",51.7505172914957,1.8455747841257,-126.019310766857,61.4302425097685,1.81108044084295,-143.972329381306,134.858698170315,0.101282528192664,-113.865958691125,0.0380888892584246
"25",114.738028884164,1.9655241891109,-149.66599458416,182.255794051448,2.66008576550595,-216.198366274895,4233.18421422397,0.005,-138.42215918439,0.0633424385943638
"26",83.2764776969181,1.55693466862983,-153.862644732251,101.362724350857,1.49985059109781,-186.458122783891,183.714621920638,0.147255247029609,-143.218231612295,0.0802615766138055
"27",77.6808683540375,1.55187920044398,-142.148041071293,93.6370196221383,1.4610653244372,-171.814895809413,149.550806342746,0.182849534455471,-130.735936657329,0.0913512695765227
"28",127.189337745869,2.29191076091916,-124.051228216631,204.624967757353,3.16392725996656,-193.784469831095,3689.55390308076,0.005,-113.205468562209,0.0689796873144856
"29",100.411112728575,2.50317683225504,-76.8591003935821,166.070584367804,3.59893038888868,-129.169566182858,2845.60086450144,0.005,-63.06581247843,0.111832110565486
"30",13.3411236454144,1.71582811506695,-39.6611415211774,15.0333560927994,1.48660171404559,-42.8371129278197,12.1729780947682,1.51400476037267,-30.0014623642996,0.213236459857528
"31",893.600202488887,4.23152586429696,-56.3636268077706,631.07267030914,6.02510963410984,-136.92354537553,2187.98640374144,0.005,-48.2127280280044,0.100423214112663
"32",183.959504023437,2.00052070043863,-190.399418441618,256.480971081113,2.41496610932305,-282.727470285396,6461.71075950426,0.005,-178.490129640368,0.0827790614635555
"33",232.251610338586,1.73625014116542,-224.699885198489,345.015575709189,2.15008040666925,-349.210085272318,9702.67728216695,0.005,-212.788313550589,0.113477886416715
"34",18.3779529296954,0.245774855885807,-40.0246927024232,23.2259028908196,0.000805423742934272,-47.2411692032209,18.614084223362,11.4276891122756,-38.6883781605897,0.741905838457449
"35",19.3717916769939,0.552721099031789,-40.7089961719707,23.6842690429844,0.000995356124221997,-46.2708037682235,19.7918656445465,2.82017625187008,-40.6080305871186,0.426678417060282
"36",25.5356140509434,0.817231156600345,-51.375291156042,28.8169662675557,0.00172223732714594,-56.8167070443214,28.0072095832936,1.11485762506716,-50.8697288294171,0.251353424051442
"37",26.6768301336105,0.451678055562579,-47.3345957820409,34.8688439698672,0.000747257413903729,-56.7390743285227,27.604150540887,3.39358598313809,-47.0876981763272,0.548855553948228
"38",25.9649494226083,0.512772465816175,-61.7782629825564,31.1275939869677,0.000976890077115267,-68.4730032293153,26.8317374452391,3.3782414721797,-57.5257158172908,0.451765941311935
"39",37.899722712512,1.63436033080127,-30.8528776210951,45.0531331608245,1.57895883062108,-47.1641792374005,452.984315081772,0.0245456232161236,-24.8235570209417,0.231069894084109
"40",147.133157691924,1.49512766679325,-225.536872797535,197.152191096573,1.62757182870984,-295.409878392103,425.170123273513,0.107407692243225,-212.635032163329,0.100441563678864
"44",75.9121401856713,2.27300473283358,-184.020368255196,100.520692606875,2.69581882148261,-218.28170296947,NA,NA,NA,NA
"45",80.0096224115688,2.27580757291188,-189.156442122838,108.710637952679,2.77986654168845,-227.047897658554,2561.27773873489,0.005,-175.36081690232,0.0152682681533457
"46",139.778908328677,1.90136700700139,-135.412239586348,237.158227269788,2.66447772325622,-217.983482339504,5312.19005179452,0.005,-124.307461820651,0.103125415739827
"47",135.151686370622,1.54283179444363,-229.649752779241,161.035055492024,1.4160158116515,-281.364108053622,360.252282908478,0.113538276915063,-218.084548734054,0.0821504113397235
