"","pln_richness","pln_sigma.sig","cegs_richness","cegs_gamma","nb_richness","nb_size.size","nb_prob.prob"
"1",112.53241651605,1.92620703605581,148.121342376678,2.17838939413771,4508.07161632119,0.005,0.0858567795803988
"2",109.132096484276,1.41694652714118,133.254402148991,1.29915143487515,235.141110107683,0.170684690128202,0.130676677465134
"3",115.585061312889,1.45804523229558,145.735491062215,1.45363890998819,265.21850339503,0.147051824871916,0.0902816686136531
"4",138.451529016339,1.63053901988891,182.833515818453,1.7933129786283,1719.79023164561,0.0189012747997236,0.0582054078234469
"5",71.1429781759188,1.40925845872378,80.9077913286547,1.14155967969358,88.0263433396117,0.444257919585164,0.0823093334151974
"6",39.6181942532222,1.61618736544224,48.5953069638266,1.58003739470302,62.2541179092561,0.270673669644415,0.1654449901043
"7",113.520326420566,2.39230050089796,225.709064331894,3.75761730751928,3071.76616543583,0.005,0.0885964259323521
"8",80.8437942480118,1.15784269721175,98.9537434805881,0.933068333830084,91.3331136546314,0.728770246040598,0.336913905446168
"9",52.417530426788,1.54241363914679,60.2581655010771,1.32012530642985,150.162706275723,0.112306338158259,0.101676614734911
"22",63.6089053380729,2.12531842385687,75.2821823110217,2.18391467673873,2329.03522212082,0.005,0.0483955073968652
"23",55.4166628639855,1.67831654306961,77.5428801546762,1.98791023786936,98.5499230598129,0.201791065842253,0.122843546626003
"24",51.7505172914957,1.8455747841257,61.4302425097685,1.81108044084295,134.858698170315,0.101282528192664,0.0380888892584246
"25",114.738028884164,1.9655241891109,182.255794051448,2.66008576550595,4233.18421422397,0.005,0.0633424385943638
"26",83.2764776969181,1.55693466862983,101.362724350857,1.49985059109781,183.714621920638,0.147255247029609,0.0802615766138055
"27",77.6808683540375,1.55187920044398,93.6370196221383,1.4610653244372,149.550806342746,0.182849534455471,0.0913512695765227
"28",127.189337745869,2.29191076091916,204.624967757353,3.16392725996656,3689.55390308076,0.005,0.0689796873144856
"29",100.411112728575,2.50317683225504,166.070584367804,3.59893038888868,2845.60086450144,0.005,0.111832110565486
"30",13.3411236454144,1.71582811506695,15.0333560927994,1.48660171404559,12.1729780947682,1.51400476037267,0.213236459857528
"31",893.600202488887,4.23152586429696,631.07267030914,6.02510963410984,2187.98640374144,0.005,0.100423214112663
"32",183.959504023437,2.00052070043863,256.480971081113,2.41496610932305,6461.71075950426,0.005,0.0827790614635555
"33",232.251610338586,1.73625014116542,345.015575709189,2.15008040666925,9702.67728216695,0.005,0.113477886416715
"34",18.3779529296954,0.245774855885807,23.2259028908196,0.000805423742934272,18.8491265388751,9.57546702227353,0.723434387715083
"35",19.3717916769939,0.552721099031789,23.6842690429844,0.000995356124221997,19.5766031338956,7.22783456087188,0.70573008011251
"36",26.1169614843035,0.804387135709974,29.6830629777988,0.0014331746609089,28.4309603915983,1.63014784976132,0.401803780793887
"37",26.6768301336105,0.451678055562579,34.8688439698672,0.000747257413903729,27.4842518417983,6.39679257611124,0.72406487339679
"38",25.9649494226083,0.512772465816175,31.1275939869677,0.000976890077115267,26.8317374452391,3.3782414721797,0.451765941311935
"39",37.899722712512,1.63436033080127,45.0531331608245,1.57895883062108,452.984315081772,0.0245456232161236,0.231069894084109
"40",147.133157691924,1.49512766679325,197.152191096573,1.62757182870984,425.170123273513,0.107407692243225,0.100441563678864
"44",75.9121401856713,2.27300473283358,100.520692606875,2.69581882148261,NA,NA,NA
"45",80.0096224115688,2.27580757291188,108.710637952679,2.77986654168845,2561.27773873489,0.005,0.0152682681533457
"46",139.778908328677,1.90136700700139,237.158227269788,2.66447772325622,5312.19005179452,0.005,0.103125415739827
"47",135.151686370622,1.54283179444363,161.035055492024,1.4160158116515,360.252282908478,0.113538276915063,0.0821504113397235
"48",134.649051897708,1.97570813065308,181.093147012059,2.33759198647417,4963.75432170355,0.005,0.0247085596361619
"49",86.2913659533198,1.44190018084754,98.7184205460526,1.21385475211045,113.720465024332,0.363162051958576,0.0632178583708155
"50",103.677622030557,1.53121537033337,136.405537398203,1.62211969218166,209.016376399002,0.174876231854799,0.150079837911547
"51",151.534329037874,1.46553510150491,215.434466047106,1.68277886490413,468.710597253353,0.102377649927688,0.152830363397565
"52",215.240629727417,1.53073274781034,298.014651968351,1.72881159810765,10430.435824626,0.005,0.231631214097875
"53",6.00000005471137,0.202233627716753,6.24166229261482,0.000309967170723563,6.0000000007992,604.42016855678,0.963077433975753
"54",6.0253503480267,0.60623510652259,6.51430371750071,0.000166184263373624,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA
"56",NA,NA,NA,NA,NA,NA,NA
"57",NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,NA,NA,NA,NA,NA
"59",3.23277740260308,1.03964791199602,NA,NA,3.45481559730146,0.935562446415787,0.114487804037987
"60",3.11785894237068,0.510078384719546,NA,NA,3.25007222607049,2.37695116670269,0.339942097204872
"61",7.60275617056412,0.749103035821046,NA,NA,9.82325912986386,0.781666348132728,0.299024945660707
"62",7.5310141582583,0.0168524376852666,NA,NA,7.57399382998156,87.9289201952328,0.982290794101145
"63",15.1357709648628,0.987909960345907,NA,NA,65.4415774752518,0.104309941630595,0.286499349536318
"64",8.87905285086658,0.00895689842363461,NA,NA,8.91574837593672,114.164151268349,0.990257543706363
"65",11.0356603855513,1.39954744545009,NA,NA,NA,NA,NA
"66",9.3049423074776,0.0413003676947631,NA,NA,9.4116691517711,47.107443685118,0.971508948161487
"67",10.2955710364777,0.0112986037937998,NA,NA,NA,NA,NA
